,Name,Group,Cal,Carb,Protein,Fat,Serving
68,Mozzarella Cheese ,Dairy and Egg Products,369.6,4.092,36.3,22.572,132
69,Mayonnaise Dressing,Fats and Oils,103.2,0.045,0,11.67,15
70,Scallops,Fish,94.35,4.5985,17.459,0.714,85
71,Mollusks Snail,Fish,76.5,1.7,13.685,1.19,85
72,Turtle Green,Fish,75.65,0,16.83,0.425,85
73,Lemons,Fruits,61.48,19.7584,2.332,0.636,212
74,Pears,Fruits,61.09,14.2593,1.0877,0.7599,149
75,Prunes,Fruits,265.36,69.6384,2.3808,0.3968,248
76,Pummelo,Fruits,72.2,18.278,1.444,0.076,190
77,Raspberries,Fruits,63.96,14.6862,1.476,0.7995,123
78,Strawberries,Fruits,48.64,11.6736,1.0184,0.456,152
79,Watermelon,Fruits,46.2,11.627,0.9394,0.231,154
80,Fuji Apples,Fruits,68.67,16.5898,0.218,0.1962,109
81,Pork Belly,Meats,147.112,0,2.65256,15.05484,28.4
82,Pork Loin,Meats,205.7,0,23.222,11.832,85
83,Pork Chops,Meats,216.75,0,22.559,13.3535,85
84,Pork Spare Ribs,Meats,337.45,0,24.701,25.755,85
85,Pork Fresh Composite Of Trimmed Retail Cuts (Leg Loin And Shoulder) Separable Lean Only Cooked,Meats,170.85,0,23.3835,7.8285,85
86,Pork Fresh Ground Raw,Meats,74.692,0,4.79392,6.01796,28.4
87,Pancakes,Baked Foods,67.876,12.30572,1.66992,1.34332,28.4
88,Blueberry Muffin,Baked Foods,181.05,35.5355,3.0033,2.9962,71
89,Garlic Bread,Baked Foods,150.5,17.9396,3.5948,7.1423,43
90,Toblerone Chocolate,Sweets,171.15,21.4235,1.9985,9.9995,35
91,Artichokes,Vegetables,63.6,14.34,3.468,0.408,120
92,Asparagus,Vegetables,26.8,5.1992,2.948,0.1608,134
93,Bitter Melon,Vegetables,15.81,3.441,0.93,0.1581,93
94,Kidney Beans,Vegetables,33,4.72,4.83,0.58,100
95,Cucumber,Vegetables,7.8,1.8876,0.338,0.0572,52
96,Edamame,Beans and Lentils,187.55,13.8105,18.4605,8.06,155
97,Kale,Vegetables,5.6,0.7072,0.4672,0.2384,16
98,Shiitake Mushrooms,Vegetables,81.2,20.8655,2.262,0.319,145
99,Pumpkin,Vegetables,49,12.005,1.764,0.1715,245
100,Kelp Seaweed,Vegetables,4.3,0.957,0.168,0.056,10
101,Laver Seaweed,Vegetables,9.1,1.3286,1.5106,0.0728,26
102,Spinach,Vegetables,41.4,6.75,5.346,0.468,180
103,Sweet Potatoes,Vegetables,180,41.42,4.02,0.3,200
104,Bamboo Shoots,Vegetables,13.2,1.824,1.836,0.264,120
105,Broccoli,Vegetables,27.3,5.6004,1.8564,0.3198,78
106,Cabbage,Vegetables,17.25,4.1325,0.9525,0.045,75
107,Cauliflower,Vegetables,14.26,2.5482,1.1408,0.279,62
108,Lotus Root,Vegetables,39.6,9.612,0.948,0.042,60
109,Red Bell Peppers,Vegetables,140.98,6.9642,1.1024,13.515,106
110,Oyster Mushrooms,Vegetables,48.84,9.0132,4.8988,0.6068,148
111,Beef Tenderloin Steak,Meats,382.2,0,37.002,24.892,140
112,Beer,Beverages,12.771,1.05435,0.13662,0,29.7
113,White Rice,Grains and Pasta,205.4,44.5086,4.2502,0.4424,158
114,Subway Tuna Sub,Fast Foods,523.77,37.8015,29.2221,28.5348,237
115,McDonalds Filet-O-Fish,Fast Foods,377.88,35.3626,15.0884,19.6176,134
116,McDonalds Cheeseburger,Fast Foods,312.97,33.0939,15.4343,14.0301,119
117,McDonalds Quarter Pounder,Fast Foods,417.24,37.9107,24.111,19.7505,171
118,Burger King French Fries,Fast Foods,207.2,28.638,2.3902,9.2352,74
119,Burger King Hamburger,Fast Foods,258.39,26.4924,14.7015,10.4445,99
120,Burger King Cheeseburger,Fast Foods,380.38,31.5343,19.3781,19.6973,133
121,Kfc Coleslaw,Fast Foods,161.28,17.528,1.0192,9.6768,112
122,Kfc Fried Chicken Original,Fast Foods,84.24,0.6864,11.1735,4.0911,39
123,Kfc Fried Chicken Crispy ,Fast Foods,464,22.54,10.96,36.61,100
124,Popeyes Fried Chicken,Fast Foods,433,21.54,13.96,32.32,100
125,Dominos 14 Inch Pepperoni Pizza Crunchy Thin Crust,Fast Foods,259.12,20.0265,10.9652,15.0495,79
126,Bok Choy,Vegetables,9.1,1.526,1.05,0.14,70
127,Carrots,Vegetables,3.395,0.79734,0.07372,0.01746,9.7
128,Boiled Potatoes,Vegetables,67.86,15.7014,1.4586,0.078,78
129,Chicken Wing,Meats,61.19,0.9686,5.7043,3.6743,29
130,Plain Yogurt,Dairy and Egg Products,103.7,7.922,5.899,5.525,170
131,McDonalds Sausage Mcgriddles,Fast Foods,421.2,42.1875,11.3535,23.976,135
132,Waffle,Fast Foods,36.8,4.149,0.869,1.859,10
133,French Toast Plain,Fast Foods,175.5,21.0405,6.578,7.1175,65
134,Noodles,Grains and Pasta,219.2,40.016,7.216,3.296,160
135,Oatmeal,Breakfast Cereals,182.4,26.808,5.232,6.168,240
136,Cereal,Breakfast Cereals,149.6,31.792,3.568,1.944,40
137,Granola,Breakfast Cereals,422.91,88.911,9.99,5.772,111
138,Burrito,Fast Foods,298.45,26.8605,11.4808,16.0782,127
139,Pasta With Tomato-Based Sauce,Prepared Meals,397.5,45.35,8.5,20.075,250
140,Pasta With Cream Sauce Restaurant,Prepared Meals,505,38.025,9.925,34.875,250
141,Pasta With Cream Sauce,Prepared Meals,382.5,41.2,10.75,19.275,250
142,Sushi Roll,Prepared Meals,27.6,5.313,0.543,0.438,30
